Categories,Final_Category
BATTERY_68AH_LEFT,BATTERY
BATTERY_74AH_LEFT,BATTERY
REAR BRAKE SHOE SET,BRAKE SYSTEM
CAR KEY SMART,OTHERS
DRL RHS,OTHERS
TYRE_235/60/R18,TYRES
DICKEY DOOR LATCH,DOOR PARTS
FRONT ROOF LIGHT,LIGHTING OTHER
FRONT LOWER CONTROL ARM SET,SUSPENSION
FRONT SHOCKER MOUNT,SUSPENSION
TYRE_215/55/R17,TYRES
REAR WHEEL BRAKE CYLINDER,BRAKE SYSTEM
REAR WIPER BLADE,WIPER SYSTEM
STARTER MOTOR,ELECTRICALS
STEERING RACK ASSY,OTHERS
FRONT WIPER BLADE SET,WIPER SYSTEM
SVM ADJUSTMENT SWITCH,ELECTRICALS
TYRE_235/55/R17,TYRES
FRONT WHEEL HUB (LHS/RHS),BEARING & HUB
REAR WINDOW WEATHERSTRIP LHS OUTER,OTHERS
AC VENT LHS,AC PARTS
RADIATOR CAP,AC PARTS
IDLER PULLEY,OTHERS
AIR FILTER INLET PIPE,FILTERS
FRONT WINDOW WEATHERSTRIP LHS OUTER,OTHERS
FRONT SHOCKER ASSY LHS,SUSPENSION
FRONT DOOR WEATHERSTRIP BODY SIDE (LHS/RHS),DOOR PARTS
TYRE_205/55/R17,TYRES
WINDOW WEATHERSTRIP SET OUTER,OTHERS
BONNET SHOCKER,SUSPENSION
REAR WIPER ARM,WIPER SYSTEM
WIPER WASHER PUMP,WIPER SYSTEM
BATTERY_55AH_LEFT,BATTERY
REAR WINDOW WEATHERSTRIP RHS OUTER,OTHERS
FRONT LINK ROD (LHS/RHS),SUSPENSION
REAR ROOF LIGHT,LIGHTING OTHER
GEAR SHIFT CABLE,OTHERS
TAPPET COVER,OTHERS
HVAC INLET HOSE,HOSES & PIPES
TURBOCHARGER,OTHERS
EPS MODULE,OTHERS
FRONT WINDOW REGULATOR RHS,DOOR PARTS
BATTERY_80AH_LEFT,BATTERY
BATTERY_35AH_BH_RIGHT,BATTERY
THERMOSTAT HOUSING,OTHERS
COOLANT TANK,FLUIDS & OILS
AIR FILTER OUTLET HOSE,FILTERS
REAR BUMPER REFLECTOR RHS,BUMPER
ENGINE UNDER COVER LHS,OTHERS
TYRE_195/55/R15,TYRES
REAR AC VENT,AC PARTS
WHEEL COVER,OTHERS
AIR FILTER HOUSING COVER (UPPER),FILTERS
NUMBER PLATE LIGHT (LHS/RHS),LIGHTING OTHER
REAR BUMPER REFLECTOR LHS,BUMPER
FRONT SHOCKER BOOT (LHS/RHS),SUSPENSION
HVAC UNIT,AC PARTS
FRONT POWER WINDOW MOTOR RHS,ELECTRICALS
FRONT ABS SENSOR LHS,SENSORS
SPARK PLUG,OTHERS
ABS MODULE,OTHERS
TYRE_155/R13LT90/89Q,TYRES
PEDAL PAD (CLUTCH & BRAKE),BRAKE SYSTEM
FRONT DOOR LATCH LHS,DOOR PARTS
HAND BRAKE LEVER,BRAKE SYSTEM
POWER WINDOW SWITCH,ELECTRICALS
INTERCOOLER INLET HOSE,HOSES & PIPES
COWL TOP CORNER RHS,OTHERS
REAR SEAT CUSHION LOCK,OTHERS
FRONT AXLE BEAM,OTHERS
TYRE_185/60/R16,TYRES
BATTERY_35AH_RIGHT,BATTERY
BRAKE MASTER CYLINDER,BRAKE SYSTEM
STEERING COLUMN,OTHERS
FRONT ABS SENSOR RHS,SENSORS
FRONT LOWER CONTROL ARM (LHS/RHS),SUSPENSION
BATTERY CLAMP,BATTERY
BLOWER MOTOR,ELECTRICALS
FRONT SHOCKER ASSY RHS,SUSPENSION
BATTERY_68AH_RIGHT,BATTERY
GLOVE BOX LOWER,OTHERS
TPMS SENSOR,SENSORS
FRONT WIPER MOTOR,WIPER SYSTEM
GEAR SHIFT LEVER,OTHERS
AC V BELT,AC PARTS
REAR DOOR LATCH LHS,DOOR PARTS
GLOW PLUG,OTHERS
FUEL LID PANEL,OTHERS
GLOVE BOX,OTHERS
TYRE_215/75/R15,TYRES
FRONT CRANKSHAFT SEAL,SEALS & GASKETS
REAR DOOR LATCH RHS,DOOR PARTS
ANTENNA,OTHERS
GEAR LEVER BOOT,OTHERS
INTERCOOLER OUTLET HOSE,HOSES & PIPES
DICKEY DOOR SWITCH,ELECTRICALS
INSTRUMENT CLUSTER,OTHERS
FRONT FOG LAMP COVER RHS,FOG LAMP
FRONT DRIVE AXLE SEAL LHS,SEALS & GASKETS
SVM MIRROR RHS,OTHERS
FRONT OUTER DOOR HANDLE RHS,DOOR PARTS
TYRE_185/70/R15,TYRES
ANTENNA BASE,OTHERS
COOLANT ELBOW,FLUIDS & OILS
FRONT DOOR WEATHERSTRIP LHS (BODY SIDE),DOOR PARTS
WIPER WASHER TANK,WIPER SYSTEM
REAR WINDOW REGULATOR RHS,DOOR PARTS
AC VENT RHS,AC PARTS
REAR BRAKE DISC,BRAKE SYSTEM
REAR DOOR PANEL LHS,DOOR PARTS
REAR FENDER LINING RHS,OTHERS
TYRE_195/60/R15,TYRES
FRONT SEAT BELT LHS,OTHERS
RADIATOR SUPPORT LOWER,AC PARTS
WIPER WASHER TANK CAP,WIPER SYSTEM
HEAD LIGHT COMBINATION SWITCH,HEADLIGHT
TYRE_235/40/R18,TYRES
REAR VIEW MIRROR,OTHERS
POWER STEERING HOSE,HOSES & PIPES
REAR DOOR WEATHERSTRIP BODY SIDE (LHS/RHS),DOOR PARTS
FRONT BRAKE DISC SET,BRAKE SYSTEM
AIR FILTER HOUSING COVER (LOWER),FILTERS
REAR BUMPER BRACKET LHS,BUMPER
FENDER INDICATOR (LHS/RHS),OTHERS
REAR BUMPER BRACKET RHS,BUMPER
FRONT OUTER DOOR HANDLE LHS,DOOR PARTS
TYRE_225/45/R17,TYRES
CAR KEY MANUAL WITH IMMOBILISER,OTHERS
TYRE_235/70/R16,TYRES
FRONT SEAT BELT RHS,OTHERS
FUEL FILTER ASSY,FILTERS
CLUTCH KIT (3 PCS),CLUTCH KIT
REAR DOOR PANEL RHS,DOOR PARTS
REAR SHOCKER BOOT,SUSPENSION
TYRE_225/55/R16,TYRES
DICKEY SHOCKER RHS,SUSPENSION
TIMING CHAIN TENSIONER,OTHERS
BATTERY_66AH_LEFT,BATTERY
FRONT POWER WINDOW MOTOR LHS,ELECTRICALS
TYRE_205/55/R15,TYRES
BONNET STAY ROD,OTHERS
FRONT BUMPER BRACKET LHS OUTER,BUMPER
EXPANSION VALVE,OTHERS
COWL TOP COVER WEATHERSTRIP,OTHERS
