Categories,Final_Category
REAR ABS SENSOR LHS,BRAKE SENSOR
FLYWHEEL,OTHERS
REAR DOOR WEATHERSTRIP LHS (BODY SIDE),WEATHERSTRIP
BATTERY_68AH_LEFT,BATTERY
BATTERY_74AH_LEFT,BATTERY
REAR BRAKE SHOE SET,OTHERS
CAR KEY SMART,CAR KEY
DRL RHS,OTHERS
TYRE_235/60/R18,TYRE
DICKEY DOOR LATCH,DOOR LATCH
FRONT ROOF LIGHT,FRONT ROOF
FRONT LOWER CONTROL ARM SET,CONTROL ARM
FRONT SHOCKER MOUNT,SHOCK ABSORBER
TYRE_215/55/R17,TYRE
REAR WHEEL BRAKE CYLINDER,REAR WHEEL
REAR WIPER BLADE,WIPER BLADE
STARTER MOTOR,STARTER MOTOR
STEERING RACK ASSY,STEERING RACK
FRONT WIPER BLADE SET,WIPER BLADE
SVM ADJUSTMENT SWITCH,MIRROR
TYRE_235/55/R17,TYRE
FRONT WHEEL HUB (LHS/RHS),WHEEL HUB
REAR WINDOW WEATHERSTRIP LHS OUTER,WEATHERSTRIP
AC VENT LHS,AC VENT
RADIATOR CAP,RADIATOR
IDLER PULLEY,PULLEY
AIR FILTER INLET PIPE,AIR FILTER
FRONT WINDOW WEATHERSTRIP LHS OUTER,WEATHERSTRIP
FRONT SHOCKER ASSY LHS,SHOCK ABSORBER
FRONT DOOR WEATHERSTRIP BODY SIDE (LHS/RHS),WEATHERSTRIP
TYRE_205/55/R17,TYRE
WINDOW WEATHERSTRIP SET OUTER,WEATHERSTRIP
BONNET SHOCKER,SHOCK ABSORBER
REAR WIPER ARM,REAR WIPER
WIPER WASHER PUMP,WASHER PUMP
BATTERY_55AH_LEFT,BATTERY
REAR WINDOW WEATHERSTRIP RHS OUTER,WEATHERSTRIP
FRONT LINK ROD (LHS/RHS),LINK ROD
REAR ROOF LIGHT,REAR ROOF
GEAR SHIFT CABLE,OTHERS
TAPPET COVER,OTHERS
HVAC INLET HOSE,OTHERS
TURBOCHARGER,OTHERS
EPS MODULE,OTHERS
FRONT WINDOW REGULATOR RHS,WINDOW REGULATOR
BATTERY_80AH_LEFT,BATTERY
BATTERY_35AH_BH_RIGHT,BATTERY
THERMOSTAT HOUSING,THERMOSTAT
COOLANT TANK,COOLANT
